"Unidade";"UF";"Edital";"Processo SEI";"Ciclo";"Vagas Previstas";"Contratados";"Vagas Ociosas";"Inscritos";"Status";"Etapa";"Risco";"Data de Início";"Data de Encerramento";"Responsável";"Observações";"Link do Edital"
"DSEI Kaiapó de Mato Grosso";"MT";"76/2026";"";"";"28";"0";"28";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-19";"2026-09-04";"";"";"https://agenciasus.org.br/shared-files/33168/?1.-Edital_de_Processo_Seletivo_Simplificado_76-1.pdf"
"DSEI Yanomami";"RR";"11/2025";"AGSUS.001574/2025-61";"1º CICLO";"491";"229";"262";"8202";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-06-09";"2025-09-15";"";"";"https://agenciasus.org.br/wp-content/uploads/2025/06/SEI_0021027_Edital_de_Processo_Seletivo_Simplificado_11-Yanomami.pdf"
"DSEI Yanomami";"RR";"71/2026";"AGSUS.000859/2026-66";"5º";"227";"0";"227";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-17";"2026-09-11";"Núcleo";"Diversos cargos";"https://agenciasus.org.br/shared-files/32968/?Edital-de-Processo-Seletivo-Simplificado-37-.pdf"
"DSEI Interior Sul";"SC";"28/2026";"";"4º";"84";"0";"84";"11036";"Andamento";"Abertura do Prazo de Recurso";"Baixo";"2026-04-30";"2026-08-04";"Núcleo";"";"https://agenciasus.org.br/shared-files/29454/?EDITAL-No-28.2026-Edital-Retificado-Consolidado.pdf"
"DSEI Médio Rio Solimões e Afluentes";"AM";"04/2025";"AGSUS.001154/2025-85";"1º CICLO";"59";"1";"58";"722";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-02-20";"2025-06-16";"";"";"https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf"
"DSEI Guamá-Tocantins";"PA";"72/2026";"AGSUS.006003/2026-02";"5º";"40";"0";"40";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-17";"2026-09-16";"Núcleo";"Diversos cargos";"https://agenciasus.org.br/shared-files/32986/?Edital-DSEI-Guatoc-72_2026.pdf"
"DSEI Litoral Sul";"PR";"80/2025";"AGSUS.008086/2025-85";"3º CICLO";"69";"35";"34";"5179";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-27";"2025-12-08";"";"";"https://agenciasus.org.br/shared-files/19283/?SEI_0142269_Edital_Processo_Seletivo_Simplificado_DSEI_Litoral_Sul.pdf"
"DSEI Altamira";"PA";"78/2025";"AGSUS.008084/2025-96";"3º CICLO";"38";"8";"30";"580";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-27";"2025-12-08";"Rosangela";"";"https://agenciasus.org.br/shared-files/19276/?SEI_0142497_Edital_Processo_Seletivo_Simplificado_DSEI_Altamira.pdf"
"DSEI Mato Grosso do Sul";"MS";"12/2025";"AGSUS.001580/2025-19";"1º CICLO";"44";"21";"23";"1373";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-06-09";"2025-09-15";"";"";"https://agenciasus.org.br/wp-content/uploads/2025/06/SEI_0021109_Edital_de_Processo_Seletivo_Simplificado_12-Mato-Grosso-do-Sul.pdf"
"DSEI Minas Gerais e Espírito Santo";"MG";"13/2025";"AGSUS.001581/2025-63";"1º CICLO";"35";"19";"16";"1594";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-06-09";"2026-02-02";"";"";"https://agenciasus.org.br/wp-content/uploads/2025/06/SEI_0021128_Edital_de_Processo_Seletivo_Simplificado_13-Minas-Gerais-e-Espirito-Santo.pdf"
"DSEI Kaiapó de Mato Grosso";"MT";"14/2025";"AGSUS.001582/2025-16";"1º CICLO";"30";"17";"13";"542";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-06-09";"2025-08-20";"";"";"https://agenciasus.org.br/wp-content/uploads/2025/06/SEI_0021145_Edital_de_Processo_Seletivo_Simplificado_14-Kaiapo-do-Mato-Grosso.pdf"
"CASAI São Paulo";"SP";"53/2025";"25000.150114/2025-97";"2º CICLO";"21";"9";"12";"1663";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-03";"2025-11-17";"Alane";"";"https://agenciasus.org.br/shared-files/18194/?Edital-no-532025-1-CASAI-NACIONAL-SAO-PAULO.pdf"
"DSEI Kaiapó de Mato Grosso";"MT";"66/2025";"AGSUS.001582/2025-16";"1º CICLO";"17";"5";"12";"169";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-03";"2025-11-17";"Wenddel";"";"https://agenciasus.org.br/shared-files/18171/?Edital-no-66-Processo-Seletivo-Simplificado-DSEI-Kaiapo-do-Mato-Grosso.pdf"
"CASAI São Paulo";"SP";"38/2026";"AGSUS.011334/2025-75";"5º";"11";"0";"11";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"";"Núcleo";"Diversos cargos";"https://agenciasus.org.br/shared-files/32765/?Edital-do-Processo-Seletivo-Simplificado-CASAI-SP-no-382026.pdf"
