Unidade;UF;Edital;Ordem;Atividade;Data;Pagina_PDF;Fonte_PDF
DSEI Yanomami;RR;11/2025;1;Publicação do Edital;09/06/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;2;Período de inscrição e Envio dos Documentos Comprobatórios de Requisitos;12/06/2025 a 23/06/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;3;Análise Curricular;24/06/2025 a 08/07/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;4;Resultado Preliminar da Análise Curricular;10/07/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;5;Recurso contra o Resultado Preliminar da Análise Curricular;11/07/2025 a 14/07/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;6;Resultado Final da Avaliação Curricular e convocação para a Entrevista;18/07/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;7;Entrevista;21/07/2025 a 06/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;8;Resultado Preliminar da Entrevista;08/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;9;Recurso contra o Resultado Preliminar da Entrevista;11/08/2025 a 12/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;10;Resultado final da Entrevista e Resultado Preliminar da Heteroidentificação e da Validação do Laudo de PCD;18/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;11;Recurso contra o Resultado Preliminar da Heteroidentificação e da Validação do Laudo de PCD;19/08/2025 a 20/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;12;Resultado Final da Heteroidentificação, da Validação do Laudo de PCD e Resultado Final do Processo Seletivo Simplificado;26/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;13;Convocação para realização do Exame Médico Ocupacional;27/08/2025 a 30/08/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;14;Previsão para Admissão de Pessoal;01/09/2025;1;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;71/2026;1;Publicação do Edital;16/06/2026;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;2;Impugnação do Edital;17 a 19/06;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;3;Período de inscrição e Envio dos Documentos Comprobatórios de Requisitos;23 a 28/06;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;4;Resultado Preliminar da Avaliação Documental e de Títulos;09/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;5;Prazo de recurso referente ao resultado preliminar da Avaliação Documental e de Títulos;10 e 11/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;6;Resultado Final da Avaliação Documental e de Títulos;16/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;7;Convocação para a Entrevista;17/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;8;Período de Entrevistas;20 a 22/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;9;Resultado Preliminar das Entrevistas;23/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;10;Prazo para recursos referentes ao resultado preliminar das entrevistas;24/07 e 25/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;11;Análise e resposta aos recursos referentes ao resultado preliminar das entrevistas;27 e 28/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;12;Resultado final da Entrevista;29/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Yanomami;RR;71/2026;13;Resultado final do Processo Seletivo;29/07;1;https://agenciasus.org.br/shared-files/32848/?Anexos-de-processo-simplificado-sanitarista-Yanomami-.pdf
DSEI Interior Sul;SC;28/2026;1;Publicação do Edital;30/04/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;2;Impugnação do Edital;04/05/2026 a 06/05/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;3;Período de inscrição e Envio dos Documentos Comprobatórios de Requisitos;09/05/2026 a 17/05/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;4;Análise Curricular;18/05/2026 a 25/05/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;5;Resultado Preliminar da Análise Curricular;28/05/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;6;Abertura do prazo de recurso;29/05/2026 e 30/05/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;7;Análise e resposta aos recursos;01/06/2026 a 08/06/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;8;Resultado Final da Avaliação Curricular;10/06/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;9;Convocação para a Entrevista;11/06/2026 e 12/06/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;10;Entrevistas;16/06/2026 a 29/06/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;11;Resultado Preliminar da Entrevista;01/07/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;12;Prazo para recursos;02/07/2026 e 03/07/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;13;Análise e resposta aos recursos;06/07/2026 a 09/07/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Interior Sul;SC;28/2026;14;Resultado final do Processo Seletivo;13/07/2026;1;https://agenciasus.org.br/shared-files/28885/?Edital-de-Processo-Seletivo-Simplificado-no-282026-Anexos.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;1;Período de inscrição;20/02/2025 às 18 horas à 28/02/2025 até às 17 horas.;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;2;Análise Curricular;10/03/2025 a 14/03/2025;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;3;Divulgação do resultado provisório da análise curricular;17/03/2025;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;4;Solicitação de recurso do resultado provisório (análise curricular);18/03/2025 a 19/03/2025 das 08h às 22h;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;5;Divulgação do resultado final do processo seletivo;20/03/2025;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;6;Convocação para realização do Exame Médico Ocupacional;24/03/2025 a 28/03/2025;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Médio Rio Solimões e Afluentes;AM;04/2025;7;Previsão para Admissão de Pessoal;31/03/2025;7;https://agenciasus.org.br/wp-content/uploads/2025/02/Edital_n_04-2025-DSEI_Medio_Rio_Solimoes.pdf
DSEI Guamá-Tocantins;PA;72/2026;1;Publicação do Edital;17/06/2026;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;2;Impugnação do Edital;18 a 20/06;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;3;Período de inscrição e Envio dos Documentos Comprobatórios de Requisitos;25/06 a 03/07;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;4;Resultado Preliminar da Avaliação Documental e de Títulos;28/07;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;5;Prazo de recurso referente ao resultado preliminar da Avaliação Documental e de Títulos;30 e 31/07;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;6;Resultado Final da Avaliação Documental e de Títulos;12/08;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;7;Convocação para a Entrevista;14/08;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;8;Período de Entrevistas;19 a 28/08;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;9;Resultado Preliminar das Entrevistas;01/09;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;10;Prazo para recursos referentes ao resultado preliminar das entrevistas;02 e 03/09;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;11;Resultado final da Entrevista;14/09;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Guamá-Tocantins;PA;72/2026;12;Resultado final do Processo Seletivo;16/09;1;https://agenciasus.org.br/shared-files/32987/?Anexos-DSEI-GUATOC-.pdf
DSEI Litoral Sul;PR;80/2025;1;Publicação do Edital;27/10/2025;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;2;Impugnação do Edital;28/10, 29/10 e 30/10;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;3;Período de inscrição e Envio dos Documentos Comprobatórios de Requisitos;31/10/2025 a 15/11/2025;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;4;Análise Curricular;17/11/2025 a 26/11/2025;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;5;Resultado Preliminar da Análise Curricular e Abertura do prazo de recurso;27/11/2025 e 28/11/2025;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;6;Reabertura do prazo para interposição de recursos;02/02/2026 a 03/02/2026 *Os recursos devem ser enviados das 9h às 18h (Horário de Brasília/DF);1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;7;Análise e resposta aos recursos;04/02/2026 a 06/02/2026;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;8;Resultado Final da Avaliação Curricular;09/02/2026;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;9;Convocação para a Entrevista;10/02/2026 e 11/02/2026;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
DSEI Litoral Sul;PR;80/2025;10;Entrevistas;23/02/2026 a 27/02/2026 02/03/2026 a 06/03/2026;1;https://agenciasus.org.br/shared-files/23449/?SEI_0257152_Retificacao.pdf
