Unidade;UF;Edital;Cargo;Vagas;Ampla_Concorrencia;PcD;Pretos_Pardos;Indigenas;Quilombolas;PPIQ;Total;Lotacao;Outros;Formato;Pagina_PDF;Fonte_PDF
DSEI Yanomami;RR;11/2025;Analista Técnico de Saúde Indígena;;6;1;3;;;;10;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Analista Especializado de Saúde Indígena;;6;1;3;;;;10;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Antropólogo;;4;-;2;;;;6;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Apoiador Técnico em Saúde;;2;-;1;;;;3;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Assistente Social;;3;-;1;;;;4;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Biólogo;;2;-;-;;;;2;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Cirurgião Dentista (40h);;9;1;4;;;;14;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Enfermeiro;;59;5;27;;;;91;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Engenheiro Civil;;1;-;-;;;;1;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Engenheiro Sanitarista;;1;-;-;;;;1;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Farmacêutico;;8;1;4;;;;13;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
DSEI Yanomami;RR;11/2025;Fisioterapeuta;;1;-;-;;;;1;;;bordered;2;https://agenciasus.org.br/wp-content/uploads/2025/06/ANEXOS-DSEI-YANOMAMI-EDITAL-11_2025.pdf
